Symbol,Date,Close
HOLX,23/07/2021 16:00:00,72.3
HOLX,26/07/2021 16:00:00,71.53
HOLX,27/07/2021 16:00:00,72.19
HOLX,28/07/2021 16:00:00,72.08
HOLX,29/07/2021 16:00:00,73.82
HOLX,30/07/2021 16:00:00,75.04
HOLX,02/08/2021 16:00:00,75.83
HOLX,03/08/2021 16:00:00,75.74
HOLX,04/08/2021 16:00:00,76.59
HOLX,05/08/2021 16:00:00,76.35
HOLX,06/08/2021 16:00:00,75.94
HOLX,09/08/2021 16:00:00,75.84
HOLX,10/08/2021 16:00:00,76.7
HOLX,11/08/2021 16:00:00,76.64
HOLX,12/08/2021 16:00:00,76.81
HOLX,13/08/2021 16:00:00,76.92
HOLX,16/08/2021 16:00:00,76.8
HOLX,17/08/2021 16:00:00,77.23
HOLX,18/08/2021 16:00:00,76.28
HOLX,19/08/2021 16:00:00,76.56
HOLX,20/08/2021 16:00:00,77.09
HOLX,23/08/2021 16:00:00,77.47
HOLX,24/08/2021 16:00:00,77.14
HOLX,25/08/2021 16:00:00,77.6
HOLX,26/08/2021 16:00:00,78.06
HOLX,27/08/2021 16:00:00,79.19
HOLX,30/08/2021 16:00:00,79.64
HOLX,31/08/2021 16:00:00,79.15
HOLX,01/09/2021 16:00:00,79.51
HOLX,02/09/2021 16:00:00,80.32
HOLX,03/09/2021 16:00:00,80.25
HOLX,07/09/2021 16:00:00,79.79
HOLX,08/09/2021 16:00:00,80.74
HOLX,09/09/2021 16:00:00,79.95
HOLX,10/09/2021 16:00:00,79.99
HOLX,13/09/2021 16:00:00,78.5
HOLX,14/09/2021 16:00:00,78.05
HOLX,15/09/2021 16:00:00,77.62
HOLX,16/09/2021 16:00:00,77.15
HOLX,17/09/2021 16:00:00,77.63
HOLX,20/09/2021 16:00:00,76.73
HOLX,21/09/2021 16:00:00,76.44
HOLX,22/09/2021 16:00:00,76.74
HOLX,23/09/2021 16:00:00,77.35
HOLX,24/09/2021 16:00:00,76.48
HOLX,27/09/2021 16:00:00,74.03
HOLX,28/09/2021 16:00:00,72.87
HOLX,29/09/2021 16:00:00,73.99
HOLX,30/09/2021 16:00:00,73.81
HOLX,01/10/2021 16:00:00,72.22
HOLX,04/10/2021 16:00:00,70.7
HOLX,05/10/2021 16:00:00,70.31
HOLX,06/10/2021 16:00:00,71.34
HOLX,07/10/2021 16:00:00,71.72
HOLX,08/10/2021 16:00:00,71.37
HOLX,11/10/2021 16:00:00,69.95
HOLX,12/10/2021 16:00:00,69.83
HOLX,13/10/2021 16:00:00,70.16
HOLX,14/10/2021 16:00:00,70.26
HOLX,15/10/2021 16:00:00,69.67
HOLX,18/10/2021 16:00:00,70.02
HOLX,19/10/2021 16:00:00,70.93
HOLX,20/10/2021 16:00:00,72.93
HOLX,21/10/2021 16:00:00,73.64
HOLX,22/10/2021 16:00:00,73.61
HOLX,25/10/2021 16:00:00,73.03
HOLX,26/10/2021 16:00:00,72.43
HOLX,27/10/2021 16:00:00,71.66
HOLX,28/10/2021 16:00:00,72.66
HOLX,29/10/2021 16:00:00,73.31
HOLX,01/11/2021 16:00:00,72.68
HOLX,02/11/2021 16:00:00,70.91
HOLX,03/11/2021 16:00:00,72.31
HOLX,04/11/2021 16:00:00,71.83
HOLX,05/11/2021 16:00:00,68.97
HOLX,08/11/2021 16:00:00,71.13
HOLX,09/11/2021 16:00:00,71.26
HOLX,10/11/2021 16:00:00,71.44
HOLX,11/11/2021 16:00:00,72.61
HOLX,12/11/2021 16:00:00,73.54
HOLX,15/11/2021 16:00:00,73.25
HOLX,16/11/2021 16:00:00,73.18
HOLX,17/11/2021 16:00:00,73.25
HOLX,18/11/2021 16:00:00,73.26
HOLX,19/11/2021 16:00:00,75.33
HOLX,22/11/2021 16:00:00,73.59
HOLX,23/11/2021 16:00:00,74.35
HOLX,24/11/2021 16:00:00,74.91
HOLX,26/11/2021 13:00:00,76.83
HOLX,29/11/2021 16:00:00,75.97
HOLX,30/11/2021 16:00:00,74.73
HOLX,01/12/2021 16:00:00,73.06
HOLX,02/12/2021 16:00:00,73.77
HOLX,03/12/2021 16:00:00,73.94
HOLX,06/12/2021 16:00:00,74.42
HOLX,07/12/2021 16:00:00,76.15
HOLX,08/12/2021 16:00:00,76.05
HOLX,09/12/2021 16:00:00,75.19
HOLX,10/12/2021 16:00:00,74.75
HOLX,13/12/2021 16:00:00,75.39
HOLX,14/12/2021 16:00:00,74.83
